Year,CCCma-CanESM2,CNRM-CERFACS-CNRM-CM5,ICHEC-EC-EARTH,IPSL-IPSL-CM5A-MR,MIROC-MIROC5,MOHC-HadGEM2-ES,MPI-M-MPI-ESM-LR_r1,MPI-M-MPI-ESM-LR_r2
2006,10.85,8.58,9.84,9.83,9.56,10.64,10.73,10.07
2007,9.57,9.77,10.28,9.91,8.82,11.19,9.48,9.36
2008,10.22,8.4,10.11,8.97,8.28,10.82,10.53,9.39
2009,12.1,10.25,9.94,9.46,8.54,11.23,10.58,9.15
2010,11.1,9.05,9.78,9.45,8.73,10.24,10.17,9.89
2011,11.39,9.1,10.19,9.99,8.27,11.01,9.7,10.38
2012,9.5,9.09,9.49,9.35,9.88,9.75,10.66,9.9
2013,9.8,9.97,9.31,9.23,9.2,11.44,10.28,10.11
2014,11.83,9.59,9.77,9.21,9.29,10.33,10.62,9.87
2015,10.84,9.72,10.8,9.29,9.4,11.52,10.14,10.83
2016,10.22,9.01,10.22,9.29,8.23,10.13,10.27,11.71
2017,11.14,8.94,10.25,9.62,8.31,10.49,11.18,10.77
2018,12.36,10.6,9.57,10.65,9.04,10.93,9.64,10.73
2019,10.6,10.76,9.92,9.96,10.31,11.19,10.08,10.75
2020,12.22,9.95,10.77,9.24,9.43,11.51,11.52,10.51
2021,11.64,11.39,11.25,8.54,8.15,10.31,11.14,9.9
2022,11.69,10.16,9.98,9.1,9.34,10.79,10.33,10.51
2023,11.43,10.3,10.2,8.56,9.91,10.88,10.34,10.28
2024,12.48,8.96,9.93,10.59,9.96,12.1,11.37,10.27
2025,11.85,11.14,9.1,11.07,8.94,10.7,11.25,10.39
2026,11.17,9.76,9.5,9.27,9.05,10.26,9.23,11.28
2027,11.34,9.22,9.57,10.11,8.83,10.38,10.8,10.17
2028,11.17,10.19,9.94,8.64,10.58,11.02,11.6,11.28
2029,12,9.81,9.87,8.55,10.19,10.88,11.78,11.01
2030,10.9,10.67,10.4,9.65,9.1,10.71,9.93,11.07
2031,11.33,10.94,9.57,9.83,8.81,11.24,9.85,10.99
2032,11.75,10.11,10.64,10.64,8.85,11.34,11.53,11.26
